id_pedido,data_pedido,cliente,segmento_cliente,pais_destino,cidade_destino,regiao_destino,armazem_origem,fornecedor,transportadora,modo_transporte,codigo_produto,produto,categoria_produto,unidades_pedidas,stock_disponivel,valor_pedido_eur,custo_transporte_eur,margem_prevista_pct,distancia_km,prioridade,lead_time_prometido_dias,lead_time_previsto_ia_dias,taxa_atraso_fornecedor,taxa_atraso_transportadora,score_risco_ia,atraso_previsto_ia,atraso_real,dias_atraso_real,data_prometida_entrega,data_real_entrega,stock_insuficiente,dados_incompletos,problema_principal,acao_recomendada
SCM20260001,2026-02-18,Carrefour España,Retalho Alimentar,Espanha,Barcelona,Catalunha,Armazém Porto,Atlântico Distribuição,DHL Iberia,Rodoviário,P010,Dispositivo POS móvel,Eletrónica,128,104,33280.00,84.75,0.256,411,Média,8,10,0.04,0.03,0.63,Sim,Sim,7,2026-02-26,2026-03-05,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260002,2026-02-16,El Corte Inglés Madrid,Retalho Especializado,Espanha,Madrid,Madrid,Armazém Porto,Lisboa Components,MRW,Paletizado,P006,Sensor IoT de temperatura,Eletrónica,174,300,14790.00,41.97,0.268,1277,Baixa,2,3,0.13,0.25,0.57,Sim,Sim,3,2026-02-18,2026-02-21,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260003,2026-05-21,Makro Portugal,Grossista,Portugal,Faro,Algarve,Armazém Barcelona,Porto Tech Parts,Correos Express,Paletizado,P010,Dispositivo POS móvel,Eletrónica,155,315,40300.00,58.77,0.157,1147,Média,7,7,0.06,0.37,0.47,Nao,Nao,0,2026-05-28,2026-05-27,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260004,2026-05-05,Alcampo Retail,Retalho Alimentar,Espanha,Sevilha,Andaluzia,Armazém Barcelona,Porto Tech Parts,DHL Iberia,Cross-docking,P009,Mini-frigorífico hotelaria,Eletrodomésticos,99,107,20790.00,137.48,0.234,1000,Média,8,7,0.04,0.13,0.23,Nao,Nao,0,2026-05-13,2026-05-12,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260005,2026-03-15,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Barcelona,Lisboa Components,SEUR,Rodoviário,P003,Etiquetas térmicas,Material de Armazém,113,152,2034.00,69.19,0.275,972,Média,5,10,0.07,0.35,0.78,Sim,Sim,2,2026-03-20,2026-03-22,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260006,2026-02-08,Worten Business,Retalho Especializado,Portugal,Braga,Norte,Armazém Lisboa,Porto Tech Parts,GLS Iberia,Rodoviário,P006,Sensor IoT de temperatura,Eletrónica,55,232,4675.00,142.11,0.187,1098,Baixa,2,2,0.08,0.12,0.22,Nao,Nao,0,2026-02-10,2026-02-10,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260007,2026-02-24,Worten Business,Retalho Especializado,Portugal,Braga,Norte,Armazém Madrid,Norte Industrial,CTT Expresso,Paletizado,P004,Luvas de segurança,EPI,86,25,602.00,164.51,0.273,1225,Média,3,3,0.04,0.09,0.35,Nao,Sim,6,2026-02-27,2026-03-05,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260008,2026-03-30,El Corte Inglés Madrid,Retalho Especializado,Espanha,Madrid,Madrid,Armazém Porto,Norte Industrial,NACEX,Expresso,P004,Luvas de segurança,EPI,120,173,840.00,300.51,0.032,640,Média,4,3,0.13,0.08,0.37,Nao,Nao,0,2026-04-03,2026-04-03,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260009,2026-05-22,Distribución Galicia,Grossista,Espanha,Vigo,Galiza,Armazém Lisboa,Lisboa Components,DHL Iberia,Paletizado,P003,Etiquetas térmicas,Material de Armazém,28,179,504.00,307.95,0.028,797,Alta,3,5,0.10,0.05,0.66,Sim,Sim,6,2026-05-25,2026-05-31,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260010,2026-03-12,Hospital Luz Lisboa,Saúde,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Barcelona,Atlântico Distribuição,CTT Expresso,Expresso,P006,Sensor IoT de temperatura,Eletrónica,138,89,11730.00,139.74,0.301,1154,Média,6,10,0.11,0.12,0.63,Sim,Sim,2,2026-03-18,2026-03-20,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
