id_pedido,cliente,pais,regiao,categoria_produto,data_pedido,data_prometida_entrega,data_real_entrega,modalidade_transporte,armazem,fornecedor,transportadora,valor_pedido_eur,unidades_pedidas,stock_disponivel,lead_time_dias,taxa_atraso_historica,distancia_km,prioridade,score_risco_ia,atraso_previsto,atraso_real
PED20260001,Continente Online,Portugal,Lisboa e Vale do Tejo,Material de Escritório,2026-03-12,2026-03-14,2026-03-14,Rodoviário,Valência,Porto Tech Parts,DHL Iberia,2596.56,156,109,2,0.14,1136,Média,0.36,0,0
PED20260002,Mercado Coimbra Norte,Portugal,Centro,Peças Industriais,2026-02-14,2026-02-16,2026-02-16,Rodoviário,Porto,Madrid Goods Network,SEUR,3132.78,28,85,2,0.18,795,Alta,0.13,0,0
PED20260003,Retalho Porto Sul,Portugal,Norte,Eletrónica,2026-01-14,2026-01-21,2026-01-23,Rodoviário,Madrid,Porto Tech Parts,GLS Iberia,9381.07,76,29,7,0.17,166,Alta,0.48,0,1
PED20260004,Staples Portugal,Portugal,Alentejo,Saúde e Bem-Estar,2026-01-09,2026-01-13,2026-01-13,Expresso,Valência,Norte Industrial,DHL Iberia,16316.24,215,162,4,0.14,1042,Alta,0.33,0,0
PED20260005,Auchan Retail PT,Portugal,Centro,Material de Escritório,2026-03-17,2026-03-24,2026-03-29,Paletizado,Madrid,Norte Industrial,MRW,529.09,97,153,7,0.40,884,Média,0.67,1,1
PED20260006,Farmacia Valencia Centro,Espanha,Andaluzia,Eletrodomésticos,2026-03-11,2026-03-16,2026-03-15,Rodoviário,Valência,IberSupply Logistics,NACEX,24451.77,201,104,5,0.10,1045,Média,0.42,0,0
PED20260007,Madrid B2B Market,Espanha,País Basco,Eletrodomésticos,2026-03-12,2026-03-21,2026-03-20,Expresso,Porto,Galicia Procurement,DHL Iberia,32479.05,240,164,9,0.13,138,Alta,0.42,0,0
PED20260008,Retalho Porto Sul,Portugal,Alentejo,Eletrónica,2026-03-13,2026-03-16,2026-03-16,Rodoviário,Porto,Norte Industrial,GLS Iberia,31399.31,72,52,3,0.11,837,Média,0.46,0,0
PED20260009,Carrefour España,Espanha,Catalunha,Material de Escritório,2026-03-18,2026-03-22,2026-03-27,Paletizado,Lisboa,Atlântico Distribuição,SEUR,164.68,6,183,4,0.18,1014,Média,0.29,0,1
PED20260010,El Corte Inglés Madrid,Espanha,Valência,Peças Industriais,2026-02-25,2026-03-04,2026-03-08,Paletizado,Lisboa,Porto Tech Parts,CTT Expresso,20539.70,124,130,7,0.11,243,Média,0.35,0,1
PED20260011,Makro Portugal,Portugal,Centro,Saúde e Bem-Estar,2026-03-13,2026-03-15,2026-03-14,Expresso,Lisboa,Andalucía Supply Hub,DHL Iberia,1058.36,17,84,2,0.05,1005,Alta,0.16,0,0
PED20260012,Makro Portugal,Portugal,Norte,Peças Industriais,2026-04-05,2026-04-14,2026-04-13,Expresso,Barcelona,Lisboa Components,GLS Iberia,22348.39,174,114,9,0.08,137,Média,0.42,0,0
PED20260013,Farmácia Sesimbra,Portugal,Norte,Material de Escritório,2026-02-22,2026-02-24,2026-02-23,Paletizado,Lisboa,Atlântico Distribuição,MRW,1209.54,232,60,2,0.09,554,Alta,0.29,0,0
PED20260014,Makro España,Espanha,Catalunha,Saúde e Bem-Estar,2026-03-15,2026-03-17,2026-03-16,Rodoviário,Lisboa,Andalucía Supply Hub,SEUR,297.92,23,62,2,0.11,917,Média,0.31,0,0
PED20260015,Bilbao Smart Retail,Espanha,País Basco,Eletrónica,2026-01-21,2026-01-26,2026-01-26,Rodoviário,Lisboa,Catalunya Freight,SEUR,10734.03,77,57,5,0.05,124,Média,0.28,0,0
PED20260016,Continente Online,Portugal,Lisboa e Vale do Tejo,Material de Escritório,2026-02-25,2026-03-06,2026-03-07,Expresso,Valência,Lisboa Components,DHL Iberia,49.17,7,211,9,0.25,900,Média,0.51,1,1
PED20260017,El Corte Inglés Madrid,Espanha,País Basco,Material de Escritório,2026-04-07,2026-04-10,2026-04-09,Expresso,Sevilha,Atlântico Distribuição,SEUR,1741.89,65,210,3,0.01,863,Alta,0.27,0,0
PED20260018,MediaMarkt Iberia,Espanha,País Basco,Eletrónica,2026-03-01,2026-03-07,2026-03-07,Expresso,Lisboa,Valencia Source,GLS Iberia,12196.04,83,163,6,0.01,591,Baixa,0.17,0,0
PED20260019,Pingo Doce Empresas,Portugal,Lisboa e Vale do Tejo,Material de Escritório,2026-02-15,2026-02-21,2026-02-20,Rodoviário,Lisboa,Galicia Procurement,SEUR,2153.87,116,72,6,0.07,1122,Média,0.47,0,0
PED20260020,Makro España,Espanha,Madrid,Saúde e Bem-Estar,2026-02-09,2026-02-18,2026-02-23,Rodoviário,Valência,Galicia Procurement,SEUR,1832.25,84,97,9,0.07,376,Média,0.38,0,1
PED20260021,Auchan Retail PT,Portugal,Lisboa e Vale do Tejo,Material de Escritório,2026-03-02,2026-03-10,2026-03-09,Paletizado,Sevilha,Valencia Source,GLS Iberia,3412.02,118,93,8,0.04,706,Média,0.52,1,0
PED20260022,El Corte Inglés Madrid,Espanha,Catalunha,Material de Escritório,2026-04-10,2026-04-12,2026-04-11,Expresso,Porto,IberSupply Logistics,CTT Expresso,2637.99,121,59,2,0.19,31,Média,0.35,0,0
PED20260023,El Corte Inglés Madrid,Espanha,Catalunha,Eletrodomésticos,2026-01-17,2026-01-25,2026-01-25,Rodoviário,Sevilha,Andalucía Supply Hub,CTT Expresso,8966.97,39,143,8,0.02,1053,Alta,0.35,0,0
PED20260024,Retalho Porto Sul,Portugal,Alentejo,Peças Industriais,2026-03-09,2026-03-17,2026-03-19,Paletizado,Porto,Lisboa Components,GLS Iberia,32769.89,165,123,8,0.22,328,Média,0.70,1,1
PED20260025,Makro Portugal,Portugal,Alentejo,Saúde e Bem-Estar,2026-02-24,2026-03-03,2026-03-03,Rodoviário,Barcelona,Norte Industrial,Correos Express,11670.13,236,134,7,0.01,631,Baixa,0.65,1,0
PED20260026,Staples Portugal,Portugal,Centro,Saúde e Bem-Estar,2026-03-29,2026-04-05,2026-04-09,Expresso,Lisboa,Valencia Source,Correos Express,1888.90,190,148,7,0.21,75,Média,0.49,0,1
PED20260027,Continente Online,Portugal,Lisboa e Vale do Tejo,Peças Industriais,2026-02-19,2026-02-24,2026-02-23,Expresso,Barcelona,Madrid Goods Network,DHL Iberia,5992.17,197,169,5,0.10,479,Média,0.31,0,0
PED20260028,FNAC Portugal,Portugal,Centro,Eletrónica,2026-01-16,2026-01-20,2026-01-23,Rodoviário,Porto,Galicia Procurement,DHL Iberia,15554.28,124,93,4,0.01,657,Média,0.24,0,1
PED20260029,Makro España,Espanha,País Basco,Material de Escritório,2026-04-01,2026-04-06,2026-04-10,Paletizado,Valência,Atlântico Distribuição,MRW,4058.20,222,83,5,0.01,161,Baixa,0.41,0,1
PED20260030,Carrefour España,Espanha,Valência,Saúde e Bem-Estar,2026-03-09,2026-03-14,2026-03-14,Expresso,Porto,Andalucía Supply Hub,NACEX,9822.69,162,142,5,0.04,197,Baixa,0.30,0,0
PED20260031,Alcampo Retail,Espanha,Madrid,Peças Industriais,2026-02-04,2026-02-10,2026-02-10,Rodoviário,Barcelona,Madrid Goods Network,DHL Iberia,2821.32,76,176,6,0.05,1020,Média,0.22,0,0
PED20260032,Tech Sevilla Store,Espanha,Madrid,Eletrónica,2026-03-27,2026-04-02,2026-04-03,Paletizado,Barcelona,Lisboa Components,DHL Iberia,56534.47,126,76,6,0.11,492,Baixa,0.35,0,1
PED20260033,FNAC Portugal,Portugal,Centro,Peças Industriais,2026-01-14,2026-01-18,2026-01-17,Paletizado,Sevilha,Lisboa Components,NACEX,17188.72,80,124,4,0.18,278,Média,0.22,0,0
PED20260034,Loja Algarve Tech,Portugal,Lisboa e Vale do Tejo,Peças Industriais,2026-02-03,2026-02-11,2026-02-16,Rodoviário,Madrid,Andalucía Supply Hub,Correos Express,1694.54,34,142,8,0.06,642,Alta,0.27,0,1
PED20260035,Distribución Galicia,Espanha,Galiza,Eletrodomésticos,2026-02-27,2026-03-04,2026-03-06,Expresso,Sevilha,Porto Tech Parts,GLS Iberia,62200.91,225,75,5,0.09,452,Média,0.26,0,1
PED20260036,Farmácia Sesimbra,Portugal,Norte,Material de Escritório,2026-02-08,2026-02-09,2026-02-09,Paletizado,Barcelona,IberSupply Logistics,Correos Express,315.00,64,110,1,0.19,1227,Média,0.36,0,0
PED20260037,Farmácia Sesimbra,Portugal,Centro,Material de Escritório,2026-02-10,2026-02-15,2026-02-15,Rodoviário,Porto,Lisboa Components,GLS Iberia,3328.91,117,174,5,0.22,101,Baixa,0.37,0,0
PED20260038,Pingo Doce Empresas,Portugal,Centro,Eletrodomésticos,2026-04-09,2026-04-12,2026-04-13,Expresso,Valência,Galicia Procurement,CTT Expresso,42550.89,125,66,3,0.12,982,Média,0.35,0,1
